id,type,formId,sectionId,parentId,order,label,apiName,custom,uuid,height,page,width,x,y,unifiedFieldId
836504,TextField,1047,1826,,3,Address,contingent-benficiary_address,FALSE,ff087b5c-e2cc-4f70-9a85-be0f2c01dc8b,17,0,244,68,426,
836509,TextField,1047,1826,,12,Gender,contingent-benficiary_gender,FALSE,f7ad6afb-74e5-4a85-ae51-912aaf7768de,17,0,56,406,372,
836510,TextField,1047,1826,,4,Address 2,contingent-benficiary_address-2,FALSE,1b65a367-74f2-4d81-9edb-af3bf82a29b1,17,0,244,68,408,
836511,TextField,1047,1826,,8,Date of Birth,contingent-benficiary_dob,FALSE,4d69d700-de95-4350-9633-44b392b32d42,17,0,185,406,426,
836512,TextField,1047,1826,,13,Percentage,contingent-benficiary_percentage,FALSE,34102210-0b26-4244-8b7f-896a9df5b031,17,0,87,504,372,
836514,TextField,1047,1826,,9,SSN,contingent-benficiary_ssn,FALSE,db86f3f0-2d90-423d-93dc-a0532201baa4,17,0,185,406,408,
836515,TextField,1047,1826,,5,City,contingent-benficiary_city,FALSE,2a3f57a7-63e7-48ff-bb7d-b50f6ba3376b,17,0,71,68,390,
836518,TextField,1047,1826,,6,State,contingent-benficiary_state,FALSE,82dfcb0d-d46f-458f-a9d3-d9a5cf01a4d3,17,0,19,184,390,
836520,TextField,1047,1826,,7,ZIP Code,contingent-benficiary_zip,FALSE,0bf3be4a-9c21-49fb-a416-c56ca6cd91bc,17,0,58,254,390,
836521,TextField,1047,1826,,10,Phone Number,contingent-benficiary_phone-number,FALSE,da347831-72fd-4ff0-9524-366679eb4628,17,0,185,406,390,
836522,TextField,1047,1826,,11,Email,contingent-benficiary_email,FALSE,54fccead-dd80-4d02-b3f3-e1dd35874f6a,17,0,244,68,372,
836537,TextField,1047,1826,,1,Name,contingent-benficiary_name,FALSE,4c75ee66-9edc-4a5b-bf0b-d21be29bdeae,17,0,245,67,444,
836538,TextField,1047,1826,,2,Relationship,contingent-benficiary_relationship,FALSE,3aee11ac-b4e9-4869-ba57-72861f31cc71,17,0,185,406,444,
836503,TextField,1047,1827,,1,Policy Number,general-information_policy-number,FALSE,03f2bdfc-be44-415d-bb7f-5f2db3e87af2,17,0,215,97,678,8
836505,TextField,1047,1827,,5,Email,general-information_email,FALSE,cc9b4a25-25e2-4911-934c-2159362135a2,17,0,215,97,642,10
836506,TextField,1047,1827,,3,Annuitant Name,general-information_annuitant-name,FALSE,8499e3bd-4382-4d9b-9d71-4d410fc1183b,17,0,215,97,660,5
836507,TextField,1047,1827,,2,SSN,general-information_ssn,FALSE,d8180997-40ba-43b7-9953-292fce398cbe,17,0,181,409,678,6
836508,TextField,1047,1827,,4,Date of Birth,general-information_dob,FALSE,38cb1508-c30d-48fd-bc34-aaa836abd570,17,0,181,409,660,7
836524,TextField,1047,1827,,6,Phone Number,general-information_phone-number,FALSE,6f2c3d1c-b253-45d6-89e7-4333043cbe33,17,0,181,409,642,9
836523,TextField,1047,1828,,5,City,primary-benficiary_city,FALSE,ff3cfaf3-9ea2-4145-b8b9-cb46c4a762d3,17,0,71,68,534,
836525,TextField,1047,1828,,1,Name,primary-benficiary_name,FALSE,84f9f512-67fd-4523-a585-5baea85b9424,17,0,244,68,588,
836526,TextField,1047,1828,,2,Relationship,primary-benficiary_relationship,FALSE,37832f00-5761-485a-b7a0-dd037d22a97e,17,0,185,406,588,
836527,TextField,1047,1828,,4,Address 2,primary-benficiary_address-2,FALSE,90b4ff06-d624-4383-9976-5f5f741a9f52,17,0,244,68,552,
836528,TextField,1047,1828,,3,Address,primary-benficiary_address,FALSE,c5e1524e-2a05-436c-b3ff-f2cacfdeda71,17,0,244,68,570,
836529,TextField,1047,1828,,8,Date of Birth,primary-benficiary_dob,FALSE,776f0a5b-6f55-4c91-8ede-99c9c86e555e,17,0,185,406,570,
836530,TextField,1047,1828,,9,SSN,primary-benficiary_ssn,FALSE,b2250e68-c208-46e4-b552-05a9ee0467e5,17,0,185,406,552,
836531,TextField,1047,1828,,11,Email,primary-benficiary_email,FALSE,a082a5d8-8caa-412e-ac2d-7d797b6930a9,17,0,244,68,516,
836532,TextField,1047,1828,,10,Phone Number,primary-benficiary_phone-number,FALSE,0752b3c5-e3a4-4133-8f79-b41e49aaf05a,17,0,185,406,534,
836533,TextField,1047,1828,,7,ZIP,primary-benficiary_zip,FALSE,6d999afb-5ade-42e7-ad95-5674e9f4bb31,17,0,58,254,534,
836534,TextField,1047,1828,,6,State,primary-benficiary_state,FALSE,a12c8f8a-08fa-495d-af06-0a3a0e432c89,17,0,19,184,534,
836535,TextField,1047,1828,,13,Percentage,primary-benficiary_percentage,FALSE,dab4d5e3-bd3d-469c-b8e7-aa995227a6e6,17,0,87,504,516,
836536,TextField,1047,1828,,12,Gender,primary-benficiary_gender,FALSE,8a0d49d4-03ca-49cf-8a29-cf9fc507efc7,17,0,56,406,516,
810231,TextField,1410,2513,,2,Full Name of Legal Entity,corporation_legal-entity-name,FALSE,0dd519ef-f4e2-4fdb-9eb4-b3bdf53133eb,16,0,401,173,538,
810233,TextField,1410,2513,,1,Policy / Contract Number(s),corporation_policy-contract-number,FALSE,efa02aaf-1629-451b-be31-a29da4130ec2,16,0,394,177,562,
810234,TextField,1410,2513,,3,Full Address of Legal Entity,corporation_legal-entity-address,FALSE,c9ec8e68-283f-4503-bebf-fa92a1ef7e66,16,0,391,183,516,
810235,TextField,1410,2513,,4,Phone Number of Legal Entity,corporation_legal-entity-phone,FALSE,3858bc9e-a7ed-4c63-b670-f4e8677eb216,16,0,377,197,494,
810236,TextField,1410,2513,,5,Tax Identification Number (TIN) of Legal Entity,corporation_legal-entity-tin,FALSE,fe457c81-5b6b-4754-8da1-09936aa8c2f4,16,0,306,268,472,
810249,TextField,1410,2515,,1,Name of the Person(s) opening the annuity or naming the Legal Entity as Beneficiary,beneficial-certification_person-name,FALSE,b8c46ccf-fa08-42bb-96b4-75c4b7127690,15,1,537,37,649,
810251,TextField,1410,2515,,2,Name of the Legal Entity for which the annuity is being purchased or being named as beneficiary,beneficial-certification_legal-entity-name,FALSE,aa6d5b32-07a6-44f7-8b53-f5c4fe7c526d,15,1,537,37,622,
810253,Checkbox,1410,2515,,4,Check here if no individual meets the above definition. This box is only to be checked in no individual controls or owns 25% or more interest in the Legal Entity.,beneficial-certification_no-individual,FALSE,6067ac5d-6e29-4796-a03b-c22f50bd3c64,12,1,12,36,566,
810254,TextField,1410,2516,,1,Name (Individual Person),tax-certification_name,FALSE,bf4e83af-74f7-43c1-b6ba-f749cd01fb16,17,1,267,37,193,
810256,TextField,1410,2516,,2,Title,tax-certification_title,FALSE,7ad2b9bd-1d0b-4269-b1d7-3c35c82d56b1,17,1,267,306,193,
810258,TextField,1410,2516,,3,Physical Mailing address (PO Box is not allowed),tax-certification_mailing-address,FALSE,dc772d69-3f70-4bf4-bbe7-458dffcf0aa7,25,1,537,37,157,
810260,TextField,1410,2516,,4,"I, (name of signor on behalf of the Legal Entity purchasing the contract), hereby certify, to the best of my knowledge that the information provided above is complete and correct.",tax-certification_signor-name,FALSE,6f170de4-a27e-4605-989d-f66a5944b69a,13,1,309,44,143,
810262,Signature,1410,2516,,5,Signature,tax-certification_signature,FALSE,87c060f2-5aac-475d-8cdd-c7b88cdcf340,18,1,417,44,84,
810264,SignatureDate,1410,2516,810262,1,Date,tax-certification_date,FALSE,2f4fa486-fc7f-4b78-a7e3-82b2c6edd661,18,1,109,464,83,
718711,TextField,1343,3151,718756,9,Please Specify,owner_change__other-field,FALSE,7066b6b8-732e-4851-9ec2-302bf31189c4,14,0,199,376,473,
718716,TextField,1343,3151,,1,"Individual, Trustee, or Company Name",owner_name,FALSE,e4ba4b54-68b8-40b9-a93d-ae0939d0a732,16,0,534,36,574,5
718743,RadioGroup,1343,3151,757682,9,Change address for,owner_change-address-for--group,FALSE,ab2970df-7d83-4d96-8624-431666ab294b,9,0,10,132,475,
718744,TextField,1343,3151,,2,"If Trust, list Trust Name and Trust Date",owner_trust,FALSE,084018a6-9d1a-4564-8b4c-d5787baf6aa4,16,0,535,36,546,11
718745,TextField,1343,3151,,3,Contract Number(s),owner_contract-number,FALSE,7aefa638-ffab-4b06-9f00-eced90ef0eca,15,0,364,36,518,8
718746,TextField,1343,3151,,4,Email Address,owner_email,FALSE,0af39720-0a49-4851-9d98-44885c230992,15,0,166,405,518,10
718747,TextField,1343,3151,,6,Date of Birth ,owner_dob,FALSE,c20a4a48-2cf2-4958-92ee-e9ba89d1eca2,17,0,138,226,488,7
